alder,utdanning,erfaring,jobb,sted,fag,kolleger,lønn,bonus,fornøyd
26-30,5,,konsulent,Oslo,fullstack,500 - 1.000,650000,Ja,Nei
26-30,0,6,konsulent,Trøndelag,ingen av disse,500 - 1.000,650000,Nei,Nei
26-30,5,2,"in-house, privat sektor",Oslo,programvare,500 - 1.000,650000,Nei,Ja
15-20,0,0,"in-house, privat sektor",Viken,backend,over 10.000,650000,Nei,Ja
21-25,3,2,"in-house, offentlig/kommunal sektor",Oslo,backend,over 10.000,650000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Oslo,fullstack,over 10.000,650000,Ja,Ja
26-30,3,1,"in-house, privat sektor",Vestland,backend,over 10.000,650000,Nei,Ja
26-30,5,5,konsulent,Vestland,frontend,over 10.000,650000,Nei,Nei
26-30,5,3,"in-house, privat sektor",Oslo,sikkerhet,over 10.000,650000,Nei,Nei
31-35,6,10,"in-house, privat sektor",Agder,fullstack,over 10.000,650000,Ja,Nei
36-40,5,6,konsulent,Oslo,ingen av disse,over 10.000,650000,Nei,Ja
26-30,3,1,"in-house, privat sektor",Rogaland,fullstack,under 10,650000,Nei,Ja
31-35,5,3,"in-house, privat sektor",Oslo,data science,under 10,650000,Nei,Ja
36-40,,12,"in-house, privat sektor",Møre og Romsdal,devops,under 10,650000,Nei,Ja
36-40,4,22,"in-house, privat sektor",Oslo,ledelse/administrativt,under 10,650000,Nei,Nei
21-25,5,1,konsulent,Trøndelag,fullstack,1.000 - 10.000,652000,Nei,Nei
41-45,5,16,"in-house, privat sektor",Oslo,fullstack,100 - 500,652000,Nei,Nei
26-30,3,5,konsulent,Trøndelag,fullstack,10 - 50,654000,Nei,Ja
21-25,5,2,konsulent,Trøndelag,data science,1.000 - 10.000,655000,Ja,Nei
26-30,3,4,konsulent,Rogaland,fullstack,100 - 500,655000,Ja,Ja
21-25,,3,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,660000,Nei,Nei
21-25,3,1,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,660000,Nei,Ja
26-30,3,3,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,660000,Nei,Nei
26-30,7,4,"in-house, privat sektor",Oslo,ingen av disse,1.000 - 10.000,660000,Nei,Ja
31-35,0,10,"in-house, privat sektor",Vestland,ledelse/administrativt,1.000 - 10.000,660000,Nei,Nei
26-30,5,4,konsulent,Agder,databaser,100 - 500,660000,Nei,Nei
31-35,2,3,"in-house, privat sektor",Trøndelag,backend,100 - 500,660000,Nei,Ja
31-35,2,2,"in-house, privat sektor",Vestland,frontend,100 - 500,660000,Nei,Nei
36-40,3,5,"in-house, privat sektor",Oslo,backend,100 - 500,660000,Nei,Nei
41-45,3,10,"in-house, privat sektor",Møre og Romsdal,frontend,100 - 500,660000,Nei,Ja
26-30,6,4,"in-house, privat sektor",Oslo,frontend,500 - 1.000,660000,Nei,Ja
36-40,1,4,"in-house, offentlig/kommunal sektor",Oslo,frontend,500 - 1.000,660000,Nei,Nei
26-30,5,7,"in-house, privat sektor",Vestland,ledelse/administrativt,under 10,660000,Nei,Nei
31-35,3,7,"in-house, offentlig/kommunal sektor",Oslo,backend,500 - 1.000,661000,Nei,Nei
21-25,5,1,"in-house, privat sektor",utlandet,fullstack,under 10,661000,Nei,Ja
21-25,5,0,"in-house, privat sektor",Oslo,fullstack,100 - 500,662000,Nei,Ja
26-30,6,4,"in-house, privat sektor",Oslo,ingen av disse,100 - 500,662000,Nei,Nei
26-30,3,2,konsulent,Oslo,fullstack,1.000 - 10.000,662500,Nei,Nei
36-40,3,3,"in-house, privat sektor",Oslo,frontend,100 - 500,664000,Nei,Nei
26-30,3,2,konsulent,Oslo,backend,1.000 - 10.000,665000,Ja,Nei
31-35,3,6,"in-house, privat sektor",Viken,fullstack,10 - 50,665000,Nei,Ja
31-35,3,4,"in-house, privat sektor",Vestland,fullstack,500 - 1.000,665000,Nei,Nei
26-30,5,3,konsulent,Oslo,fullstack,1.000 - 10.000,667000,Nei,Ja
31-35,0,6,"in-house, privat sektor",Oslo,fullstack,under 10,667000,Nei,Nei
31-35,4,4,konsulent,Innlandet,fullstack,1.000 - 10.000,668000,Nei,Ja
31-35,3,5,"in-house, privat sektor",Oslo,devops,100 - 500,668000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Oslo,backend,100 - 500,669900,Nei,Ja
26-30,5,4,konsulent,Oslo,devops,1.000 - 10.000,670000,Nei,Nei
26-30,3,5,konsulent,Møre og Romsdal,fullstack,1.000 - 10.000,670000,Nei,Nei
31-35,0,4,"in-house, privat sektor",Oslo,automatisering,1.000 - 10.000,670000,Nei,Nei
31-35,4,2,konsulent,Oslo,sikkerhet,1.000 - 10.000,670000,Nei,Nei
36-40,3,0,"in-house, privat sektor",Agder,fullstack,1.000 - 10.000,670000,Nei,Ja
26-30,3,6,"in-house, privat sektor",Vestland,fullstack,10 - 50,670000,Nei,Nei
26-30,3,7,konsulent,Vestfold og Telemark,fullstack,10 - 50,670000,Nei,Ja
31-35,5,4,"in-house, privat sektor",Vestfold og Telemark,fullstack,10 - 50,670000,Ja,Nei
46-50,0,17,"in-house, privat sektor",Vestland,fullstack,10 - 50,670000,Nei,Nei
21-25,5,2,konsulent,Oslo,fullstack,100 - 500,670000,Nei,Ja
26-30,5,2,konsulent,Oslo,backend,100 - 500,670000,Nei,Nei
26-30,3,1,"in-house, privat sektor",Oslo,backend,100 - 500,670000,Nei,Nei
26-30,5,2,"in-house, privat sektor",Troms og Finnmark,backend,100 - 500,670000,Ja,Ja
26-30,5,2,konsulent,Trøndelag,frontend,100 - 500,670000,Nei,Nei
26-30,3,1,"in-house, privat sektor",Oslo,fullstack,100 - 500,670000,Ja,Ja
26-30,5,2,konsulent,Oslo,fullstack,100 - 500,670000,Ja,Nei
26-30,5,3,konsulent,Oslo,fullstack,100 - 500,670000,Nei,Ja
26-30,5,1,konsulent,Oslo,fullstack,500 - 1.000,670000,Nei,Ja
36-40,3,2,"in-house, privat sektor",Oslo,fullstack,500 - 1.000,670000,Nei,Nei
31-35,4,2,konsulent,Oslo,frontend,over 10.000,670000,Ja,Ja
36-40,5,8,konsulent,Vestland,devops,over 10.000,670000,Ja,Nei
46-50,1,24,"in-house, privat sektor",Oslo,ledelse/administrativt,over 10.000,670000,Nei,Nei
26-30,3,4,"in-house, privat sektor",Vestland,fullstack,1.000 - 10.000,675000,Nei,Ja
36-40,0,1,"in-house, privat sektor",Oslo,frontend,1.000 - 10.000,675000,Nei,Ja
31-35,5,2,"in-house, privat sektor",Vestland,ingen av disse,10 - 50,675000,Nei,Nei
41-45,5,6,"in-house, privat sektor",Innlandet,fullstack,10 - 50,675000,Nei,Nei
21-25,3,1,konsulent,Vestland,fullstack,100 - 500,675000,Nei,Ja
26-30,5,2,konsulent,Oslo,frontend,100 - 500,675000,Ja,Nei
31-35,5,5,"in-house, privat sektor",Troms og Finnmark,backend,100 - 500,675000,Ja,Nei
21-25,3,3,konsulent,Oslo,app,50 - 100,675000,Nei,Nei
31-35,3,8,"in-house, privat sektor",Agder,backend,50 - 100,675000,Ja,Nei
36-40,0,7,"in-house, privat sektor",Trøndelag,ledelse/administrativt,over 10.000,675000,Nei,Ja
21-25,5,0,konsulent,Trøndelag,ingen av disse,1.000 - 10.000,679000,Nei,Ja
26-30,1,2,"in-house, privat sektor",Oslo,backend,1.000 - 10.000,680000,Ja,Ja
26-30,3,3,konsulent,Viken,backend,1.000 - 10.000,680000,Nei,Ja
26-30,5,2,"in-house, privat sektor",Oslo,data science,1.000 - 10.000,680000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Rogaland,fullstack,1.000 - 10.000,680000,Nei,Ja
31-35,0,5,"in-house, privat sektor",Viken,fullstack,1.000 - 10.000,680000,Nei,Nei
36-40,0,13,"in-house, privat sektor",Trøndelag,backend,1.000 - 10.000,680000,Nei,Nei
36-40,1,1,"in-house, privat sektor",Viken,frontend,1.000 - 10.000,680000,Ja,Nei
26-30,3,4,konsulent,Innlandet,frontend,10 - 50,680000,Ja,Ja
26-30,3,4,"in-house, privat sektor",Vestland,frontend,10 - 50,680000,Ja,Ja
31-35,,6,"in-house, privat sektor",Vestfold og Telemark,arkitektur,10 - 50,680000,Nei,Nei
36-40,3,3,konsulent,Innlandet,backend,10 - 50,680000,Ja,Ja
36-40,3,15,"in-house, privat sektor",Vestfold og Telemark,fullstack,10 - 50,680000,Nei,Nei
46-50,4,18,"in-house, privat sektor",Trøndelag,programvare,10 - 50,680000,Ja,Ja
26-30,4,8,"in-house, privat sektor",Nordland,data science,100 - 500,680000,Nei,Ja
26-30,3,5,konsulent,Oslo,frontend,100 - 500,680000,Nei,Nei
31-35,0,12,"in-house, offentlig/kommunal sektor",Rogaland,data science,100 - 500,680000,Nei,Ja
31-35,3,6,"in-house, privat sektor",Oslo,frontend,100 - 500,680000,Nei,Nei
46-50,4,4,"in-house, offentlig/kommunal sektor",Oslo,frontend,100 - 500,680000,Nei,Nei
26-30,3,7,konsulent,Møre og Romsdal,fullstack,50 - 100,680000,Ja,Ja
26-30,3,5,konsulent,Oslo,fullstack,50 - 100,680000,Nei,Ja
26-30,3,5,"in-house, privat sektor",Oslo,fullstack,50 - 100,680000,Nei,Ja
26-30,5,1,konsulent,Rogaland,backend,500 - 1.000,680000,Ja,Ja
26-30,3,5,"in-house, offentlig/kommunal sektor",Trøndelag,backend,500 - 1.000,680000,Nei,Nei
41-45,3,6,"in-house, privat sektor",Møre og Romsdal,backend,500 - 1.000,680000,Nei,Nei
36-40,3,3,"in-house, offentlig/kommunal sektor",Oslo,backend,over 10.000,680000,Nei,Ja
36-40,0,4,"in-house, privat sektor",Oslo,frontend,under 10,680000,Nei,Nei
31-35,3,6,"in-house, offentlig/kommunal sektor",Innlandet,app,100 - 500,683000,Nei,Nei
21-25,5,1,konsulent,Oslo,backend,100 - 500,684000,Nei,Nei
21-25,5,2,konsulent,Oslo,backend,100 - 500,684000,Nei,Ja
26-30,5,3,konsulent,Oslo,frontend,1.000 - 10.000,685000,Nei,Ja
26-30,3,4,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,685000,Nei,Ja
21-25,5,1,"in-house, privat sektor",Oslo,programvare,100 - 500,685000,Nei,Nei
26-30,4,4,konsulent,Oslo,frontend,100 - 500,686000,Ja,Nei
26-30,0,4,"in-house, privat sektor",Oslo,fullstack,100 - 500,687000,Nei,Nei
31-35,1,0,"in-house, offentlig/kommunal sektor",Vestland,frontend,500 - 1.000,687000,Nei,Ja
26-30,5,4,"in-house, privat sektor",Oslo,devops,1.000 - 10.000,690000,Nei,Nei
26-30,3,3,konsulent,Oslo,frontend,1.000 - 10.000,690000,Nei,Nei
31-35,8,3,konsulent,Oslo,data science,1.000 - 10.000,690000,Ja,Nei
36-40,1,8,"in-house, offentlig/kommunal sektor",Agder,devops,1.000 - 10.000,690000,Nei,Nei
26-30,3,2,konsulent,Oslo,fullstack,10 - 50,690000,Nei,Ja
31-35,2,2,"in-house, privat sektor",Oslo,frontend,10 - 50,690000,Nei,Nei
26-30,3,1,konsulent,Oslo,backend,100 - 500,690000,Nei,Ja
31-35,3,7,"in-house, privat sektor",Viken,fullstack,100 - 500,690000,Nei,Nei
31-35,8,8,"in-house, offentlig/kommunal sektor",Oslo,programvare,100 - 500,690000,Nei,Ja
36-40,5,5,"in-house, offentlig/kommunal sektor",Oslo,frontend,100 - 500,690000,Nei,Nei
46-50,5,5,"in-house, privat sektor",Troms og Finnmark,devops,100 - 500,690000,Nei,Nei
26-30,3,3,"in-house, privat sektor",Vestfold og Telemark,fullstack,50 - 100,690000,Ja,Ja
36-40,3,16,"in-house, offentlig/kommunal sektor",Troms og Finnmark,ingen av disse,50 - 100,690000,Nei,Nei
46-50,3,21,"in-house, privat sektor",Oslo,app,50 - 100,690000,Nei,Nei
26-30,3,3,"in-house, offentlig/kommunal sektor",Oslo,fullstack,500 - 1.000,690000,Nei,Ja
26-30,3,7,"in-house, privat sektor",Trøndelag,backend,over 10.000,690000,Ja,Ja
26-30,5,2,"in-house, privat sektor",Oslo,automatisering,under 10,690000,Nei,Ja
26-30,2,2,"in-house, privat sektor",Viken,frontend,10 - 50,691000,Ja,Ja
21-25,6,1,konsulent,Oslo,fullstack,10 - 50,695000,Ja,Ja
26-30,5,1,konsulent,Oslo,fullstack,10 - 50,695000,Nei,Ja
26-30,5,2,"in-house, offentlig/kommunal sektor",Oslo,backend,100 - 500,695000,Nei,Nei
26-30,7,4,"in-house, privat sektor",Oslo,frontend,50 - 100,695000,Nei,Nei
26-30,5,2,konsulent,Oslo,arkitektur,1.000 - 10.000,698000,Nei,Nei
36-40,3,2,konsulent,Agder,backend,10 - 50,698000,Ja,Ja
46-50,3,18,"in-house, offentlig/kommunal sektor",Troms og Finnmark,backend,100 - 500,698500,Nei,Ja
21-25,3,1,konsulent,Oslo,fullstack,1.000 - 10.000,700000,Ja,Ja
26-30,3,1,"in-house, privat sektor",Vestland,backend,1.000 - 10.000,700000,Ja,Nei
26-30,3,3,"in-house, offentlig/kommunal sektor",Oslo,devops,1.000 - 10.000,700000,Ja,Ja
26-30,2,3,"in-house, privat sektor",Oslo,frontend,1.000 - 10.000,700000,Nei,Ja
26-30,6,4,konsulent,Oslo,frontend,1.000 - 10.000,700000,Ja,Ja
26-30,5,4,konsulent,Trøndelag,testing,1.000 - 10.000,700000,Ja,Ja
31-35,0,7,"in-house, privat sektor",Oslo,backend,1.000 - 10.000,700000,Nei,Nei
31-35,3,1,"in-house, offentlig/kommunal sektor",Oslo,backend,1.000 - 10.000,700000,Nei,Ja
31-35,3,2,konsulent,Trøndelag,fullstack,1.000 - 10.000,700000,Ja,Ja
31-35,5,4,"in-house, privat sektor",Oslo,testing,1.000 - 10.000,700000,Nei,Ja
36-40,4,18,"in-house, privat sektor",Vestland,ledelse/administrativt,1.000 - 10.000,700000,Nei,Nei
36-40,3,10,"in-house, offentlig/kommunal sektor",Innlandet,sikkerhet,1.000 - 10.000,700000,Nei,Nei
46-50,5,25,"in-house, offentlig/kommunal sektor",Nordland,ledelse/administrativt,1.000 - 10.000,700000,Nei,Ja
21-25,5,1,"in-house, privat sektor",Oslo,backend,10 - 50,700000,Nei,Ja
21-25,2,6,"in-house, privat sektor",Oslo,fullstack,10 - 50,700000,Nei,Nei
21-25,0,3,"in-house, privat sektor",Vestland,fullstack,10 - 50,700000,Nei,Nei
21-25,3,5,"in-house, privat sektor",Viken,fullstack,10 - 50,700000,Nei,Ja
26-30,3,10,"in-house, privat sektor",Oslo,automatisering,10 - 50,700000,Nei,Nei
26-30,5,1,konsulent,Oslo,backend,10 - 50,700000,Ja,Nei
26-30,6,6,konsulent,Rogaland,backend,10 - 50,700000,Ja,Ja
26-30,1,5,"in-house, privat sektor",Oslo,backend,10 - 50,700000,Nei,Nei
26-30,,7,"in-house, privat sektor",Møre og Romsdal,embedded/IOT/maskinvare,10 - 50,700000,Nei,Ja
26-30,3,3,"in-house, privat sektor",Rogaland,frontend,10 - 50,700000,Ja,Ja
26-30,5,4,"in-house, privat sektor",Oslo,frontend,10 - 50,700000,Nei,Nei
26-30,5,4,"in-house, privat sektor",Nordland,fullstack,10 - 50,700000,Ja,Nei
26-30,3,4,"in-house, privat sektor",Vestland,fullstack,10 - 50,700000,Ja,Nei
31-35,0,3,"in-house, privat sektor",Oslo,backend,10 - 50,700000,Ja,Ja
31-35,3,3,"in-house, privat sektor",Viken,backend,10 - 50,700000,Nei,Ja
31-35,3,5,konsulent,Møre og Romsdal,embedded/IOT/maskinvare,10 - 50,700000,Nei,Ja
31-35,4,5,konsulent,Oslo,frontend,10 - 50,700000,Nei,Ja
36-40,0,4,"in-house, privat sektor",Viken,fullstack,10 - 50,700000,Nei,Nei
36-40,3,20,"in-house, privat sektor",Rogaland,ledelse/administrativt,10 - 50,700000,Nei,Nei
41-45,0,16,"in-house, privat sektor",Trøndelag,backend,10 - 50,700000,Nei,Ja
41-45,3,21,konsulent,Rogaland,backend,10 - 50,700000,Nei,Nei
46-50,4,27,"in-house, privat sektor",Oslo,fullstack,10 - 50,700000,Ja,Ja
21-25,3,2,konsulent,Rogaland,backend,100 - 500,700000,Ja,Ja
21-25,3,1,konsulent,Oslo,fullstack,100 - 500,700000,Ja,Nei
21-25,3,2,"in-house, privat sektor",Vestland,fullstack,100 - 500,700000,Nei,Ja
21-25,5,0,konsulent,Oslo,fullstack,100 - 500,700000,Nei,Ja
26-30,3,2,konsulent,Oslo,app,100 - 500,700000,Nei,Ja
26-30,3,5,"in-house, offentlig/kommunal sektor",Vestland,automatisering,100 - 500,700000,Nei,Ja
26-30,5,2,"in-house, privat sektor",Oslo,backend,100 - 500,700000,Nei,Nei
26-30,3,4,"in-house, privat sektor",Vestfold og Telemark,backend,100 - 500,700000,Nei,Nei
26-30,5,3,"in-house, privat sektor",Oslo,fullstack,100 - 500,700000,Nei,Ja
26-30,3,4,"in-house, privat sektor",Trøndelag,fullstack,100 - 500,700000,Nei,Ja
26-30,3,2,konsulent,Oslo,fullstack,100 - 500,700000,Ja,Ja
26-30,5,1,konsulent,Oslo,ingen av disse,100 - 500,700000,Ja,Nei
26-30,6,2,"in-house, privat sektor",Oslo,programvare,100 - 500,700000,Nei,Ja
31-35,3,4,"in-house, privat sektor",Oslo,app,100 - 500,700000,Ja,Ja
31-35,4,4,"in-house, privat sektor",Nordland,backend,100 - 500,700000,Nei,Nei
31-35,3,3,"in-house, offentlig/kommunal sektor",Oslo,fullstack,100 - 500,700000,Nei,Ja
31-35,4,5,"in-house, privat sektor",Oslo,fullstack,100 - 500,700000,Ja,Nei
31-35,0,1,"in-house, privat sektor",Oslo,fullstack,100 - 500,700000,Ja,Ja
36-40,8,0,konsulent,Vestland,backend,100 - 500,700000,Ja,Ja
36-40,3,4,"in-house, privat sektor",Agder,backend,100 - 500,700000,Nei,Ja
36-40,4,8,konsulent,Oslo,frontend,100 - 500,700000,Nei,Nei
36-40,3,11,"in-house, privat sektor",Vestfold og Telemark,frontend,100 - 500,700000,Nei,Nei
36-40,4,3,konsulent,Oslo,frontend,100 - 500,700000,Nei,Nei
41-45,0,5,"in-house, privat sektor",Oslo,frontend,100 - 500,700000,Nei,Nei
51-55,0,25,"in-house, offentlig/kommunal sektor",Viken,fullstack,100 - 500,700000,Nei,Ja
51-55,3,36,konsulent,Vestland,sikkerhet,100 - 500,700000,Ja,Nei
21-25,3,3,"in-house, privat sektor",Troms og Finnmark,frontend,50 - 100,700000,Nei,Ja
26-30,3,5,"in-house, offentlig/kommunal sektor",Vestfold og Telemark,backend,50 - 100,700000,Ja,Ja
26-30,5,1,konsulent,Trøndelag,frontend,50 - 100,700000,Ja,Ja
26-30,4,7,konsulent,Møre og Romsdal,frontend,50 - 100,700000,Nei,Ja
26-30,3,5,"in-house, privat sektor",Vestland,fullstack,50 - 100,700000,Nei,Ja
26-30,3,6,"in-house, privat sektor",Troms og Finnmark,ledelse/administrativt,50 - 100,700000,Ja,Nei
31-35,3,6,konsulent,Agder,fullstack,50 - 100,700000,Nei,Nei
36-40,0,7,"in-house, privat sektor",Troms og Finnmark,UX / design,50 - 100,700000,Nei,Ja
26-30,5,4,"in-house, offentlig/kommunal sektor",Oslo,backend,500 - 1.000,700000,Nei,Nei
26-30,4,2,"in-house, privat sektor",Vestland,backend,500 - 1.000,700000,Ja,Nei
26-30,5,5,"in-house, offentlig/kommunal sektor",Oslo,data science,500 - 1.000,700000,Nei,Nei
26-30,5,2,konsulent,Oslo,fullstack,500 - 1.000,700000,Nei,Ja
26-30,3,3,"in-house, privat sektor",Vestland,fullstack,500 - 1.000,700000,Ja,Nei
31-35,3,10,"in-house, privat sektor",Oslo,devops,500 - 1.000,700000,Ja,Ja
36-40,3,13,"in-house, privat sektor",Vestfold og Telemark,fullstack,500 - 1.000,700000,Nei,Ja
21-25,2,7,"in-house, offentlig/kommunal sektor",Oslo,devops,over 10.000,700000,Nei,Ja
26-30,3,5,"in-house, privat sektor",Vestfold og Telemark,fullstack,over 10.000,700000,Nei,Ja
26-30,5,2,konsulent,Oslo,ledelse/administrativt,over 10.000,700000,Nei,Ja
31-35,0,0,"in-house, privat sektor",Oslo,frontend,over 10.000,700000,Ja,Nei
36-40,0,4,"in-house, privat sektor",Møre og Romsdal,fullstack,over 10.000,700000,Nei,Nei
26-30,0,10,konsulent,Trøndelag,fullstack,under 10,700000,Nei,Ja
26-30,5,5,"in-house, privat sektor",Oslo,programvare,under 10,700000,Nei,Nei
36-40,0,20,"in-house, privat sektor",Oslo,frontend,under 10,700000,Nei,Nei
36-40,3,7,"in-house, privat sektor",Trøndelag,fullstack,under 10,700000,Nei,Nei
46-50,0,5,"in-house, privat sektor",Oslo,fullstack,under 10,700000,Nei,Nei
31-35,5,5,"in-house, privat sektor",Nordland,fullstack,100 - 500,700004,Nei,Nei
31-35,5,6,"in-house, offentlig/kommunal sektor",Vestland,backend,100 - 500,700200,Nei,Ja
21-25,3,3,"in-house, offentlig/kommunal sektor",Oslo,backend,1.000 - 10.000,701000,Nei,Nei
26-30,3,5,"in-house, privat sektor",Nordland,fullstack,10 - 50,702000,Nei,Ja
36-40,5,8,"in-house, offentlig/kommunal sektor",Rogaland,programvare,over 10.000,703400,Nei,Ja
31-35,3,4,"in-house, privat sektor",Oslo,frontend,100 - 500,704000,Nei,Nei
26-30,5,3,konsulent,Trøndelag,fullstack,10 - 50,705000,Nei,Ja
21-25,3,3,"in-house, privat sektor",Rogaland,backend,100 - 500,705000,Nei,Nei
31-35,3,0,"in-house, offentlig/kommunal sektor",Oslo,frontend,100 - 500,705000,Nei,Ja
26-30,5,4,"in-house, privat sektor",Oslo,frontend,50 - 100,705000,Nei,Nei
26-30,3,5,"in-house, privat sektor",Innlandet,backend,500 - 1.000,707000,Nei,Ja
36-40,4,15,"in-house, privat sektor",Vestland,frontend,100 - 500,709000,Nei,Nei
21-25,3,3,konsulent,Oslo,backend,1.000 - 10.000,710000,Ja,Ja
26-30,4,5,"in-house, offentlig/kommunal sektor",Oslo,app,1.000 - 10.000,710000,Nei,Ja
31-35,3,4,konsulent,Oslo,backend,1.000 - 10.000,710000,Nei,Ja
31-35,5,12,"in-house, offentlig/kommunal sektor",Troms og Finnmark,fullstack,1.000 - 10.000,710000,Nei,Nei
31-35,9,5,"in-house, offentlig/kommunal sektor",Vestland,ingen av disse,1.000 - 10.000,710000,Nei,Nei
46-50,6,24,"in-house, offentlig/kommunal sektor",Oslo,ingen av disse,1.000 - 10.000,710000,Nei,Nei
36-40,2,3,"in-house, privat sektor",Vestfold og Telemark,backend,10 - 50,710000,Nei,Ja
21-25,0,6,"in-house, privat sektor",Vestland,fullstack,100 - 500,710000,Ja,Ja
26-30,5,2,konsulent,Oslo,fullstack,100 - 500,710000,Nei,Nei
26-30,0,3,"in-house, privat sektor",Viken,app,50 - 100,710000,Nei,Ja
26-30,,3,konsulent,Troms og Finnmark,fullstack,50 - 100,710000,Nei,Ja
26-30,4,7,"in-house, offentlig/kommunal sektor",Oslo,ledelse/administrativt,50 - 100,710000,Ja,Ja
31-35,3,5,"in-house, offentlig/kommunal sektor",Oslo,frontend,50 - 100,710000,Nei,Ja
31-35,3,9,"in-house, offentlig/kommunal sektor",Viken,backend,500 - 1.000,710000,Nei,Ja
36-40,5,9,"in-house, privat sektor",Oslo,backend,500 - 1.000,710000,Nei,Nei
21-25,3,2,"in-house, privat sektor",Oslo,fullstack,over 10.000,710000,Ja,Ja
31-35,3,10,konsulent,Agder,fullstack,over 10.000,710000,Ja,Ja
26-30,5,3,"in-house, offentlig/kommunal sektor",Oslo,fullstack,over 10.000,711300,Nei,Ja
31-35,3,12,"in-house, offentlig/kommunal sektor",Oslo,ledelse/administrativt,100 - 500,714000,Nei,Ja
31-35,5,2,"in-house, offentlig/kommunal sektor",Oslo,data science,1.000 - 10.000,715000,Nei,Nei
36-40,4,5,"in-house, privat sektor",Rogaland,backend,under 10,715000,Nei,Nei
26-30,3,5,konsulent,Vestland,fullstack,1.000 - 10.000,720000,Nei,Nei
31-35,4,5,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,720000,Ja,Nei
31-35,8,7,konsulent,Trøndelag,fullstack,1.000 - 10.000,720000,Nei,Nei
36-40,5,10,"in-house, offentlig/kommunal sektor",Agder,ledelse/administrativt,1.000 - 10.000,720000,Nei,Ja
36-40,10,10,"in-house, offentlig/kommunal sektor",Oslo,UX / design,1.000 - 10.000,720000,Nei,Nei
41-45,3,20,konsulent,Vestfold og Telemark,fullstack,1.000 - 10.000,720000,Nei,Nei
21-25,5,2,"in-house, privat sektor",Vestland,fullstack,10 - 50,720000,Nei,Ja
26-30,3,6,konsulent,Vestfold og Telemark,frontend,10 - 50,720000,Nei,Ja
31-35,3,12,konsulent,Oslo,databaser,10 - 50,720000,Nei,Ja
31-35,0,2,konsulent,Rogaland,frontend,10 - 50,720000,Ja,Ja
31-35,0,7,"in-house, privat sektor",Nordland,ledelse/administrativt,10 - 50,720000,Ja,Ja
36-40,0,15,"in-house, privat sektor",Vestfold og Telemark,frontend,10 - 50,720000,Nei,Nei
46-50,3,25,"in-house, privat sektor",Oslo,fullstack,10 - 50,720000,Nei,Ja
21-25,3,3,"in-house, privat sektor",Oslo,frontend,100 - 500,720000,Nei,Ja
21-25,3,2,konsulent,Trøndelag,fullstack,100 - 500,720000,Ja,Nei
26-30,3,4,konsulent,Oslo,app,100 - 500,720000,Nei,Ja
26-30,6,1,"in-house, offentlig/kommunal sektor",Trøndelag,databaser,100 - 500,720000,Nei,Ja
26-30,3,4,konsulent,Oslo,frontend,100 - 500,720000,Ja,Ja
26-30,3,2,konsulent,Oslo,frontend,100 - 500,720000,Nei,Ja
26-30,3,3,"in-house, privat sektor",Oslo,frontend,100 - 500,720000,Nei,Ja
26-30,6,3,konsulent,Oslo,UX / design,100 - 500,720000,Nei,Ja
31-35,5,7,"in-house, privat sektor",Rogaland,automatisering,100 - 500,720000,Nei,Nei
31-35,3,5,"in-house, privat sektor",Vestland,automatisering,100 - 500,720000,Nei,Ja
31-35,3,3,konsulent,Oslo,UX / design,100 - 500,720000,Ja,Ja
36-40,5,15,"in-house, offentlig/kommunal sektor",Oslo,data science,100 - 500,720000,Nei,Nei
51-55,2,25,"in-house, privat sektor",Trøndelag,programvare,100 - 500,720000,Nei,Nei
26-30,5,4,"in-house, privat sektor",Oslo,fullstack,50 - 100,720000,Nei,Nei
36-40,0,16,"in-house, privat sektor",Trøndelag,fullstack,50 - 100,720000,Nei,Nei
31-35,0,1,konsulent,Vestfold og Telemark,frontend,500 - 1.000,720000,Ja,Nei
36-40,3,7,"in-house, offentlig/kommunal sektor",Troms og Finnmark,fullstack,500 - 1.000,720000,Nei,Nei
56-60,3,36,"in-house, privat sektor",Viken,backend,500 - 1.000,720000,Ja,Ja
26-30,3,1,"in-house, privat sektor",Oslo,backend,over 10.000,720000,Nei,Ja
26-30,5,3,"in-house, privat sektor",Oslo,frontend,under 10,720000,Nei,Ja
26-30,6,5,"in-house, privat sektor",Trøndelag,fullstack,under 10,720000,Ja,Ja
36-40,3,4,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,723000,Nei,Ja
31-35,3,7,"in-house, privat sektor",Trøndelag,programvare,10 - 50,723000,Nei,Nei
26-30,5,2,konsulent,Oslo,databaser,100 - 500,723000,Nei,Nei
31-35,3,12,"in-house, privat sektor",Vestland,fullstack,10 - 50,724000,Nei,Nei
31-35,3,9,"in-house, privat sektor",Oslo,fullstack,100 - 500,724000,Nei,Nei
31-35,4,8,"in-house, privat sektor",Innlandet,testing,500 - 1.000,724500,Nei,Ja
41-45,3,23,"in-house, privat sektor",Agder,fullstack,100 - 500,724722,Ja,Ja
